object_key,designation,actual_label,predicted_label,predicted_probability,model_name,feature_set,model_family,correct,confidence_bucket,risk_score_0_100,risk_category,notes,graph_model_name,node_embedding_dimension,neighbor_context_used,prediction_mode,training_strategy,leakage_risk,evidence_role
20242147,242147,0,1,0.70340450774092,logistic_regression,orbital_only,tabular,False,medium,22.72649,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20003988,3988,0,1,0.54943461238689,logistic_regression,orbital_only,tabular,False,low,17.767553,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20005786,5786,0,1,0.7336706565879559,logistic_regression,orbital_only,tabular,False,medium,32.621554,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20017181,17181,0,1,0.5743121844129498,logistic_regression,orbital_only,tabular,False,low,33.39189,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20017511,17511,0,1,0.7686725720308372,logistic_regression,orbital_only,tabular,False,medium,30.020547,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20020429,20429,0,1,0.6368482025415609,logistic_regression,orbital_only,tabular,False,low,32.713512,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20022099,22099,0,1,0.7145475980757566,logistic_regression,orbital_only,tabular,False,medium,17.054569,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20024443,24443,0,1,0.6630276043143715,logistic_regression,orbital_only,tabular,False,medium,33.720268,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20038239,38239,0,1,0.5946135423712049,logistic_regression,orbital_only,tabular,False,low,33.578825,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20054509,54509,0,1,0.8176611248827029,logistic_regression,orbital_only,tabular,False,medium,36.033803,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20106538,106538,0,1,0.7552936336749415,logistic_regression,orbital_only,tabular,False,medium,32.832583,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20136818,136818,0,1,0.750134213305893,logistic_regression,orbital_only,tabular,False,medium,29.702439,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20136874,136874,0,1,0.8237703406753556,logistic_regression,orbital_only,tabular,False,medium,27.671621,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20137032,137032,0,1,0.7292019610885299,logistic_regression,orbital_only,tabular,False,medium,25.870167,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138325,138325,0,1,0.681837832700398,logistic_regression,orbital_only,tabular,False,medium,31.382062,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20138359,138359,0,1,0.6408178388900814,logistic_regression,orbital_only,tabular,False,low,19.286594,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20141079,141079,0,1,0.7396548029611729,logistic_regression,orbital_only,tabular,False,medium,31.156574,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20141424,141424,0,1,0.6845524742096271,logistic_regression,orbital_only,tabular,False,medium,29.982412,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20141531,141531,0,1,0.6466479204511543,logistic_regression,orbital_only,tabular,False,low,16.748995,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20144901,144901,0,1,0.5298959031160111,logistic_regression,orbital_only,tabular,False,low,26.755788,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20152756,152756,0,1,0.6237555128755831,logistic_regression,orbital_only,tabular,False,low,31.289024,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20154453,154453,0,1,0.6096540141803972,logistic_regression,orbital_only,tabular,False,low,32.182028,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20155140,155140,0,1,0.634041260160066,logistic_regression,orbital_only,tabular,False,low,35.34795,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20159677,159677,0,1,0.6143637823118435,logistic_regression,orbital_only,tabular,False,low,32.651249,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20159686,159686,0,1,0.633889397632349,logistic_regression,orbital_only,tabular,False,low,23.259154,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162004,162004,0,1,0.7139451181053992,logistic_regression,orbital_only,tabular,False,medium,33.562367,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162063,162063,0,1,0.7657604082048854,logistic_regression,orbital_only,tabular,False,medium,30.932234,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162080,162080,0,1,0.6876069623265119,logistic_regression,orbital_only,tabular,False,medium,18.237349,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162117,162117,0,1,0.6369895383092377,logistic_regression,orbital_only,tabular,False,low,30.292112,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162157,162157,0,1,0.5581148570093981,logistic_regression,orbital_only,tabular,False,low,31.871419,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162195,162195,0,1,0.8826333617956894,logistic_regression,orbital_only,tabular,False,high,32.399112,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20162470,162470,0,1,0.5202291723656616,logistic_regression,orbital_only,tabular,False,low,30.38038,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20172722,172722,0,1,0.8824886547162436,logistic_regression,orbital_only,tabular,False,high,32.504595,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20177016,177016,0,1,0.7393301808491455,logistic_regression,orbital_only,tabular,False,medium,29.782872,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20186823,186823,0,1,0.6969198018755509,logistic_regression,orbital_only,tabular,False,medium,30.107893,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20190491,190491,0,1,0.6422051815161747,logistic_regression,orbital_only,tabular,False,low,29.55542,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20190788,190788,0,1,0.7920044884614181,logistic_regression,orbital_only,tabular,False,medium,32.207333,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20212359,212359,0,1,0.6658398654464969,logistic_regression,orbital_only,tabular,False,medium,21.584486,moderate,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
20219071,219071,0,1,0.5835233991577216,logistic_regression,orbital_only,tabular,False,low,17.721486,low,Defensible secondary evidence view.,,,,full,full_labeled_dataset_after_holdout_evaluation,low,secondary_evidence
